3月 30, 2025, 23:31:34:    Error pasting content .. Cannot open clipboard: 拒绝访问。 (19.08, Jan 6, 2025)
3月 30, 2025, 23:32:04:    Error pasting content .. Cannot open clipboard: 拒绝访问。 (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:11:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:11:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:12:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:13:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:14:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:15:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:16:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:17:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:18:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:19:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:20:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:21:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:22:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
3月 30, 2025, 23:37:23:    Trouble shutting down the alarm .. Unable to write to H:\SiYuanMemo\SuperMemo\bin\alarm.ini (19.08, Jan 6, 2025)
